,precision,recall,f1-score,support
call,0.9933333333333333,0.9900332225913622,0.9916805324459235,301.0
dislike,1.0,0.9922779922779923,0.9961240310077519,259.0
fist,1.0,0.9947089947089947,0.9973474801061007,189.0
four,0.9848024316109423,0.9908256880733946,0.9878048780487805,327.0
like,0.9930555555555556,0.9965156794425087,0.9947826086956522,287.0
mute,0.9504504504504504,0.9723502304147466,0.9612756264236902,217.0
ok,0.9936908517350158,0.9905660377358491,0.9921259842519685,318.0
one,0.94921875,0.9604743083003953,0.9548133595284872,253.0
palm,0.9879518072289156,0.9939393939393939,0.9909365558912386,330.0
peace,0.9894366197183099,0.9756944444444444,0.9825174825174825,288.0
peace_inverted,0.9932659932659933,0.9866220735785953,0.9899328859060402,299.0
rock,0.993127147766323,0.9897260273972602,0.9914236706689536,292.0
stop,0.9731543624161074,0.9797297297297297,0.9764309764309764,296.0
stop_inverted,0.9810126582278481,0.9872611464968153,0.9841269841269841,314.0
three,0.9964788732394366,0.9725085910652921,0.9843478260869565,291.0
three2,0.9939393939393939,0.9909365558912386,0.9924357034795764,331.0
two_up,0.9708029197080292,0.9888475836431226,0.9797421731123389,269.0
two_up_inverted,0.9816176470588235,0.9744525547445255,0.978021978021978,274.0
accuracy,0.9851996105160662,0.9851996105160662,0.9851996105160662,0.9851996105160662
macro avg,0.9847410441808042,0.9848594585819812,0.98477059648616,5135.0
weighted avg,0.9853079134223287,0.9851996105160662,0.9852259752093034,5135.0
