,precision,recall,f1-score,support
call,0.9933110367892977,0.9867109634551495,0.99,301.0
dislike,1.0,0.9961389961389961,0.9980657640232108,259.0
fist,0.9946808510638298,0.9894179894179894,0.9920424403183024,189.0
four,0.9786585365853658,0.981651376146789,0.9801526717557252,327.0
like,0.9930555555555556,0.9965156794425087,0.9947826086956522,287.0
mute,0.933920704845815,0.9769585253456221,0.954954954954955,217.0
ok,0.9936908517350158,0.9905660377358491,0.9921259842519685,318.0
one,0.967479674796748,0.9407114624505929,0.9539078156312625,253.0
palm,0.9969418960244648,0.9878787878787879,0.9923896499238964,330.0
peace,0.9633699633699634,0.9131944444444444,0.9376114081996435,288.0
peace_inverted,0.9506578947368421,0.9665551839464883,0.9585406301824212,299.0
rock,0.9965397923875432,0.9863013698630136,0.9913941480206541,292.0
stop,0.9352750809061489,0.9763513513513513,0.9553719008264463,296.0
stop_inverted,0.9712460063897763,0.9681528662420382,0.9696969696969697,314.0
three,0.9964664310954063,0.9690721649484536,0.9825783972125436,291.0
three2,0.9879518072289156,0.9909365558912386,0.9894419306184012,331.0
two_up,0.9230769230769231,0.9814126394052045,0.9513513513513514,269.0
two_up_inverted,0.9738805970149254,0.9525547445255474,0.9630996309963099,274.0
accuracy,0.9752677702044791,0.9752677702044791,0.9752677702044791,0.9752677702044791
macro avg,0.9750113113112521,0.9750600632572257,0.9748615698144286,5135.0
weighted avg,0.9756692426265595,0.9752677702044791,0.9753032712515062,5135.0
