,precision,recall,f1-score,support
call,0.99,0.9867109634551495,0.9883527454242929,301.0
dislike,1.0,0.9961389961389961,0.9980657640232108,259.0
fist,1.0,0.9947089947089947,0.9973474801061007,189.0
four,0.9730538922155688,0.9938837920489296,0.983358547655068,327.0
like,0.9930555555555556,0.9965156794425087,0.9947826086956522,287.0
mute,0.9502262443438914,0.967741935483871,0.958904109589041,217.0
ok,0.984472049689441,0.9968553459119497,0.990625,318.0
one,0.9722222222222222,0.9683794466403162,0.9702970297029703,253.0
palm,0.9909365558912386,0.9939393939393939,0.9924357034795764,330.0
peace,0.986013986013986,0.9791666666666666,0.9825783972125436,288.0
peace_inverted,0.9866666666666667,0.9899665551839465,0.988313856427379,299.0
rock,1.0,0.9897260273972602,0.9948364888123924,292.0
stop,0.9765886287625418,0.9864864864864865,0.9815126050420168,296.0
stop_inverted,0.9904153354632588,0.9872611464968153,0.988835725677831,314.0
three,0.9929824561403509,0.9725085910652921,0.9826388888888888,291.0
three2,0.993920972644377,0.9879154078549849,0.990909090909091,331.0
two_up,0.9814814814814815,0.9851301115241635,0.9833024118738405,269.0
two_up_inverted,0.9925925925925926,0.9781021897810219,0.9852941176470589,274.0
accuracy,0.9865628042843233,0.9865628042843233,0.9865628042843233,0.9865628042843233
macro avg,0.9863682577601762,0.9861743183459305,0.9862439206203862,5135.0
weighted avg,0.9866423945500858,0.9865628042843233,0.9865751114239523,5135.0
