Feature,Importance
y21,0.075959064
ratio_index_pinky,0.056048837
dist_middle_pinky,0.054391015
len_pinky,0.05409415
y18,0.051272023
dist_thumb_middle,0.04689868
dist_index_ring,0.04634911
ratio_thumb_ring,0.03405508
dist_thumb_pinky,0.031312384
dist_ring_pinky,0.031094564
y3,0.03096781
y19,0.029586311
ratio_thumb_middle,0.026978873
y9,0.026973562
dist_thumb_ring,0.026817942
dist_index_middle,0.026510466
dist_index_pinky,0.025921209
dist_middle_ring,0.02438275
y2,0.024134342
y5,0.023296194
z2,0.018944373
y14,0.017542973
dist_thumb_index,0.017460495
y15,0.015062928
y17,0.014924008
y11,0.01420321
curl_index,0.013228859
ratio_index_middle,0.012041805
y4,0.0109335985
ratio_thumb_index,0.010441964
ratio_index_ring,0.010202524
ratio_ring_pinky,0.008853484
y20,0.007212337
y8,0.0049853404
y10,0.004891449
len_ring,0.0045305025
len_index,0.004449623
curl_ring,0.004078836
len_thumb,0.0038374492
curl_middle,0.0037541096
ratio_middle_pinky,0.0036599624
y16,0.0029216153
curl_thumb,0.002669006
z3,0.0024296187
ratio_thumb_pinky,0.0023650867
y6,0.002312508
y12,0.0021981515
z14,0.0018951846
x21,0.0017337626
z4,0.0016456223
curl_pinky,0.0015459661
z6,0.0015103157
z10,0.0013535478
y13,0.0011830535
len_middle,0.0011115622
z20,0.001037491
x16,0.00095342804
z19,0.0009209099
ratio_middle_ring,0.0007863519
z15,0.00078284554
x20,0.0007796745
z21,0.000711416
x11,0.0007088595
y7,0.0006871872
z18,0.0006808251
z5,0.0006805099
x5,0.0006711593
z12,0.00067011494
x4,0.00065488636
z16,0.000628474
x2,0.0006191223
z7,0.0006017752
x12,0.0005805511
z11,0.0005800738
x18,0.0005800226
x3,0.0005540224
x19,0.0005451251
z17,0.0005296354
z9,0.00052188104
x9,0.0005000148
x6,0.00046178498
x13,0.00044272965
x7,0.00042457425
x15,0.00041717105
x10,0.0004114718
z8,0.0003880241
x17,0.00038667867
x14,0.0003339611
z13,0.00030619153
x8,0.00030180285
y1,0.0
z1,0.0
x1,0.0
